catalogue,source_file,ws,Technology,cat,par,unit,est,year,val,note,note_text,ref,ref_text
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,- Charge efficiency [%],%,Upper,2050,1,B,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,- Discharge efficiency [%],%,ctrl,2020,1,B,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,- Discharge efficiency [%],%,ctrl,2025,1,B,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,- Discharge efficiency [%],%,ctrl,2030,1,B,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,- Discharge efficiency [%],%,ctrl,2035,1,B,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,- Discharge efficiency [%],%,ctrl,2040,1,B,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,- Discharge efficiency [%],%,ctrl,2050,1,B,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,- Discharge efficiency [%],%,Lower,2020,1,B,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,- Discharge efficiency [%],%,Upper,2020,1,B,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,- Discharge efficiency [%],%,Lower,2050,1,B,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,- Discharge efficiency [%],%,Upper,2050,1,B,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy losses during storage [K/day],K/day,ctrl,2020,0.08,B,,12,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy losses during storage [K/day],K/day,ctrl,2025,0.08,B,,12,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy losses during storage [K/day],K/day,ctrl,2030,0.08,B,,12,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy losses during storage [K/day],K/day,ctrl,2035,0.08,B,,12,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy losses during storage [K/day],K/day,ctrl,2040,0.08,B,,12,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy losses during storage [K/day],K/day,ctrl,2050,0.08,B,,12,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy losses during storage [K/day],K/day,Lower,2020,0.04,B,,12,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy losses during storage [K/day],K/day,Upper,2020,0.1,B,,12,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy losses during storage [K/day],K/day,Lower,2050,0.04,B,,12,
